,autopytorch,full precision,bnn,parallel bnn,,sequential bnn,,parallel ternary,,,sequential ternary,
,Acc,Acc,Acc,Area,Power,Area,Power,Acc,Area,Power,Area,Power
cardio,92,92,88,4679475407,0.1401,7115342387,0.2773,90,2053596496,0.0619,1962546875,0.1018
gasId,99,90,81,26959696846,0.7495,38543302497,1.4721,88,11088325560,0.3172,3411989857,0.1495
Har,89,74,51,2910770189,0.0879,5235484224,0.1971,52,1456769742,0.0445,2318517248,0.1044
pendigits,99,99,87,4301659989,0.1325,6581812832,0.2406,92,2989657508,0.0943,3132965942,0.127
redwine,68,60,54,2782864896,0.0864,4967834514,0.186,58,1351817280,0.0425,2242098574,0.0992
whitewine,65,57,51,2605495606,0.0814,4977337116,0.1885,50,1061454195,0.0336,2174150196,0.0989
